Timestamp,Server,Min_Latency,Avg_Latency,Max_Latency,Jitter,Packet_Loss
2024-10-16 07:45:12,google.com,21.287,21.287,21.287,0.0,0.0
2024-10-16 07:45:12,google.com,21.256,21.256,21.256,0.0,0.0
2024-10-16 07:45:12,google.com,21.193,21.193,21.193,0.0,0.0
2024-10-16 07:45:12,google.com,21.297,21.297,21.297,0.0,0.0
2024-10-16 07:45:12,google.com,21.307,21.307,21.307,0.0,0.0
2024-10-16 07:45:12,kasaneteto.jp,85.016,85.016,85.016,0.0,0.0
2024-10-16 07:45:12,kasaneteto.jp,85.107,85.107,85.107,0.0,0.0
2024-10-16 07:45:13,kasaneteto.jp,85.083,85.083,85.083,0.0,0.0
2024-10-16 07:45:13,kasaneteto.jp,85.047,85.047,85.047,0.0,0.0
2024-10-16 07:45:13,kasaneteto.jp,85.083,85.083,85.083,0.0,0.0
2024-10-16 07:45:13,nicovideo.jp,1.354,1.354,1.354,0.0,0.0
2024-10-16 07:45:13,nicovideo.jp,1.361,1.361,1.361,0.0,0.0
2024-10-16 07:45:13,nicovideo.jp,1.341,1.341,1.341,0.0,0.0
2024-10-16 07:45:13,nicovideo.jp,1.347,1.347,1.347,0.0,0.0
2024-10-16 07:45:13,nicovideo.jp,1.35,1.35,1.35,0.0,0.0
2024-10-16 07:45:13,a248.e.akamai.net,180.751,180.751,180.751,0.0,0.0
2024-10-16 07:45:13,a248.e.akamai.net,180.696,180.696,180.696,0.0,0.0
2024-10-16 07:45:13,a248.e.akamai.net,182.575,182.575,182.575,0.0,0.0
2024-10-16 07:45:14,a248.e.akamai.net,180.781,180.781,180.781,0.0,0.0
2024-10-16 07:45:14,a248.e.akamai.net,182.55,182.55,182.55,0.0,0.0
2024-10-16 07:45:14,facebook.com,16.303,16.303,16.303,0.0,0.0
2024-10-16 07:45:14,facebook.com,16.315,16.315,16.315,0.0,0.0
2024-10-16 07:45:14,facebook.com,16.294,16.294,16.294,0.0,0.0
2024-10-16 07:45:14,facebook.com,16.321,16.321,16.321,0.0,0.0
2024-10-16 07:45:14,facebook.com,16.308,16.308,16.308,0.0,0.0
2024-10-16 07:45:14,cloudflare.com,1.577,1.577,1.577,0.0,0.0
2024-10-16 07:45:14,cloudflare.com,1.662,1.662,1.662,0.0,0.0
2024-10-16 07:45:14,cloudflare.com,1.541,1.541,1.541,0.0,0.0
2024-10-16 07:45:14,cloudflare.com,1.609,1.609,1.609,0.0,0.0
2024-10-16 07:45:14,cloudflare.com,1.668,1.668,1.668,0.0,0.0
2024-10-16 07:45:14,amazon.com,228.766,228.766,228.766,0.0,0.0
2024-10-16 07:45:14,amazon.com,223.248,223.248,223.248,0.0,0.0
2024-10-16 07:45:15,amazon.com,226.578,226.578,226.578,0.0,0.0
2024-10-16 07:45:15,amazon.com,228.764,228.764,228.764,0.0,0.0
2024-10-16 07:45:15,amazon.com,228.273,228.273,228.273,0.0,0.0
2024-10-16 07:45:15,mynavi.jp,1.38,1.38,1.38,0.0,0.0
2024-10-16 07:45:15,mynavi.jp,1.331,1.331,1.331,0.0,0.0
2024-10-16 07:45:15,mynavi.jp,1.353,1.353,1.353,0.0,0.0
2024-10-16 07:45:15,mynavi.jp,1.336,1.336,1.336,0.0,0.0
2024-10-16 07:45:15,mynavi.jp,1.335,1.335,1.335,0.0,0.0
2024-10-16 07:45:15,tbs.co.jp,82.068,82.068,82.068,0.0,0.0
2024-10-16 07:45:15,tbs.co.jp,82.014,82.014,82.014,0.0,0.0
2024-10-16 07:45:16,tbs.co.jp,81.058,81.058,81.058,0.0,0.0
2024-10-16 07:45:16,tbs.co.jp,81.235,81.235,81.235,0.0,0.0
2024-10-16 07:45:16,tbs.co.jp,81.072,81.072,81.072,0.0,0.0
2024-10-16 07:45:16,youtube.com,22.561,22.561,22.561,0.0,0.0
2024-10-16 07:45:16,youtube.com,22.552,22.552,22.552,0.0,0.0
2024-10-16 07:45:16,youtube.com,22.577,22.577,22.577,0.0,0.0
2024-10-16 07:45:16,youtube.com,22.524,22.524,22.524,0.0,0.0
2024-10-16 07:45:16,youtube.com,22.56,22.56,22.56,0.0,0.0
2024-10-16 07:55:16,google.com,23.02,23.02,23.02,0.0,0.0
2024-10-16 07:55:16,google.com,23.052,23.052,23.052,0.0,0.0
2024-10-16 07:55:16,google.com,23.013,23.013,23.013,0.0,0.0
2024-10-16 07:55:16,google.com,23.028,23.028,23.028,0.0,0.0
2024-10-16 07:55:16,google.com,23.021,23.021,23.021,0.0,0.0
2024-10-16 07:55:16,kasaneteto.jp,85.113,85.113,85.113,0.0,0.0
2024-10-16 07:55:16,kasaneteto.jp,85.097,85.097,85.097,0.0,0.0
2024-10-16 07:55:16,kasaneteto.jp,84.996,84.996,84.996,0.0,0.0
2024-10-16 07:55:17,kasaneteto.jp,84.989,84.989,84.989,0.0,0.0
2024-10-16 07:55:17,kasaneteto.jp,85.112,85.112,85.112,0.0,0.0
2024-10-16 07:55:17,nicovideo.jp,1.343,1.343,1.343,0.0,0.0
2024-10-16 07:55:17,nicovideo.jp,1.337,1.337,1.337,0.0,0.0
2024-10-16 07:55:17,nicovideo.jp,1.327,1.327,1.327,0.0,0.0
2024-10-16 07:55:17,nicovideo.jp,1.329,1.329,1.329,0.0,0.0
2024-10-16 07:55:17,nicovideo.jp,1.328,1.328,1.328,0.0,0.0
2024-10-16 07:55:17,a248.e.akamai.net,182.595,182.595,182.595,0.0,0.0
2024-10-16 07:55:17,a248.e.akamai.net,182.561,182.561,182.561,0.0,0.0
